Primary,Secondary,Sub_Archetype,Sub_Sub_Combo,Sub_Sub_Result,Theme,Function
Architect,Weaver,Master Builder,,,"Systems and community design","Builds enduring social and structural systems"
Architect,Sovereign,Cold Strategist,,,"Leadership through structure","Plans, controls, optimizes"
Architect,Seer,Silent Architect,,,"Visionary systems","Sees blueprints before others"
Architect,Guardian,Rigid Architect,,,"System preservation","Maintains order at all costs"
Architect,Alchemist,Structural Transformer,,,"Systemic transformation","Integrates innovation into structure"
Architect,Explorer,Innovating Planner,,,"Strategic exploration","Bridges imagination and execution"
Architect,Catalyst,Disruptive Designer,,,"Creative chaos","Breaks and rebuilds systems"

Catalyst,Seer,Chaos Prophet,,,"Revolutionary vision","Foresees collapse and renewal"
Catalyst,Explorer,Firestarter,,,"Creative ignition","Starts movements, breaks inertia"
Catalyst,Sovereign,Reckless Liberator,,,"Freedom through rule-breaking","Topples hierarchies"
Catalyst,Guardian,Anarchic Protector,,,"Protective rebellion","Defends through destruction"
Catalyst,Alchemist,Burned Catalyst,,,"Self-destruction to rebirth","Burns out to awaken"
Catalyst,Weaver,Revolutionary Connector,,,"Change through people","Inspires collective action"
Catalyst,Architect,Strategic Instigator,,,"Planned disruption","Calculates revolution"

Seer,Architect,Oracle Engineer,,,"Vision made structure","Designs future systems"
Seer,Weaver,Visionary Connector,,,"Pattern recognition","Sees networks and trends"
Seer,Sovereign,Detached Prophet,,,"Leadership insight","Rules through foresight"
Seer,Guardian,Threshold Watcher,,,"Protective vision","Guards sacred knowledge"
Seer,Alchemist,Transformative Sage,,,"Healing wisdom","Turns insight into power"
Seer,Explorer,Pathfinder,,,"Discovery of truth","Charts new intellectual terrain"
Seer,Catalyst,Paranoid Seer,,,"Dark foresight","Sees too much, acts too little"

Guardian,Weaver,Shield Bearer,,,"Protection","Holds community together"
Guardian,Sovereign,Moral Enforcer,,,"Law and order","Upholds systems"
Guardian,Seer,Watcher at the Gate,,,"Sacred vigilance","Times and guards transformation"
Guardian,Architect,Frozen Guardian,,,"Defensive structure","Prevents change"
Guardian,Alchemist,Healing Protector,,,"Restorative safety","Heals through stability"
Guardian,Explorer,Boundary Scout,,,"Safe exploration","Tests limits carefully"
Guardian,Catalyst,Anarchic Protector,,,"Warrior defense","Fights for the sacred"

Sovereign,Guardian,Just King/Queen,,,"Balanced authority","Protects and leads"
Sovereign,Weaver,Charismatic Ruler,,,"Social leadership","Leads through connection"
Sovereign,Seer,Strategist King,,,"Visionary leadership","Plans with foresight"
Sovereign,Architect,Empire Builder,,,"Legacy systems","Creates enduring structures"
Sovereign,Alchemist,Transformative King,,,"Evolutionary rule","Leads through transformation"
Sovereign,Explorer,Nomad King,,,"Adventurous sovereignty","Leads through change"
Sovereign,Catalyst,Tyrant in Waiting,,,"Shadow rule","Controls through force"

Alchemist,Weaver,Wounded Healer,,,"Transformative compassion","Heals others through pain"
Alchemist,Seer,Dark Transmuter,,,"Psychic alchemy","Turns darkness into gold"
Alchemist,Architect,Soul Smith,,,"Systemic transformation","Forges inner and outer renewal"
Alchemist,Guardian,Healing Protector,,,"Protective healing","Restores and stabilizes"
Alchemist,Sovereign,Transformative King,,,"Leadership evolution","Transforms through example"
Alchemist,Explorer,Experimental Sage,,,"Curious transformation","Learns by doing"
Alchemist,Catalyst,Eternal Seeker,,,"Restless change","Never stops evolving"

Explorer,Seer,Pathfinder,,,"Discovery","Maps new realities"
Explorer,Architect,Rogue Innovator,,,"Radical creation","Builds unconventional systems"
Explorer,Catalyst,Nomadic Catalyst,,,"Moving fire","Spreads innovation"
Explorer,Guardian,Boundary Scout,,,"Safe discovery","Explores without chaos"
Explorer,Alchemist,Experimental Sage,,,"Transformation through journey","Learns by exploring"
Explorer,Sovereign,Nomad King,,,"Adventurous rule","Leads while wandering"
Explorer,Weaver,Cultural Nomad,,,"Cultural bridge","Connects worlds"

Weaver,Architect,Network Designer,,,"Structural empathy","Connects systems and people"
Weaver,Sovereign,Social Sovereign,,,"Relational rule","Leads through harmony"
Weaver,Seer,Cultural Visionary,,,"Collective intuition","Sees societal patterns"
Weaver,Guardian,Self-Erased Weaver,,,"Martyr of harmony","Loses self in others"
Weaver,Alchemist,Cultural Alchemist,,,"Social transformation","Heals groups through meaning"
Weaver,Explorer,Nomadic Connector,,,"Global connection","Bridges tribes and cultures"
Weaver,Catalyst,Instigating Connector,,,"Revolutionary empathy","Unites people to spark change"

Catalyst+Alchemist,,Chaos Prophet + Sovereign + Explorer,Royal Nomad,"Fusion","Leads through chaos and travel"
