subtype_id,index,core_id,core_name,mode_id,mode_name,name,title,tagline,description,mode_light,mode_shadow,integration_keys,best_with,watch_out_for
ARCH-BUI,1,ARCH,Architect,BUI,Builder,System Builder,Architect — System Builder,Makes it real,"Architect — System Builder is the Architect core expressed through the Builder execution mode. At its best, it builds durable frameworks that outlast moods and builds infrastructure. In shadow, it trends toward rigidity, control, confusing structure with truth plus the builder failure pattern of workaholic control. Integration: trade certainty for iteration; keep systems human; add vision checkpoints so you don't build the wrong cathedral.",builds infrastructure | finishes what matters | creates repeatable outcomes,workaholic control | dismisses emotions as noise | over-optimizes,trade certainty for iteration; keep systems human | add vision checkpoints so you don't build the wrong cathedral,Catalyst | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
ARCH-VIS,2,ARCH,Architect,VIS,Visionary,Visionary Planner,Architect — Visionary Planner,Sees the next shape,"Architect — Visionary Planner is the Architect core expressed through the Visionary execution mode. At its best, it builds durable frameworks that outlast moods and sees the next shape. In shadow, it trends toward rigidity, control, confusing structure with truth plus the visionary failure pattern of stays in the head. Integration: trade certainty for iteration; keep systems human; ship in small iterations; let feedback refine the prophecy.",sees the next shape | names the direction | anticipates second-order effects,stays in the head | gets cynical | delays action,trade certainty for iteration; keep systems human | ship in small iterations; let feedback refine the prophecy,Catalyst | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
ARCH-REG,3,ARCH,Architect,REG,Regulator,Structural Regulator,Architect — Structural Regulator,Holds the line,"Architect — Structural Regulator is the Architect core expressed through the Regulator execution mode. At its best, it builds durable frameworks that outlast moods and holds boundaries. In shadow, it trends toward rigidity, control, confusing structure with truth plus the regulator failure pattern of rigidity/moralizing. Integration: trade certainty for iteration; keep systems human; pair boundaries with purpose; allow transformation on your terms.",holds boundaries | stabilizes quality | prevents preventable chaos,rigidity/moralizing | suppresses needed change | trust collapse,trade certainty for iteration; keep systems human | pair boundaries with purpose; allow transformation on your terms,Catalyst | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
ARCH-TRN,4,ARCH,Architect,TRN,Transformer,Adaptive Designer,Architect — Adaptive Designer,Changes the state,"Architect — Adaptive Designer is the Architect core expressed through the Transformer execution mode. At its best, it builds durable frameworks that outlast moods and reinvents under pressure. In shadow, it trends toward rigidity, control, confusing structure with truth plus the transformer failure pattern of volatility. Integration: trade certainty for iteration; keep systems human; build containers for intensity; transform without detonating your life.",reinvents under pressure | transmutes crisis into progress | creates breakthroughs,volatility | burn-it-all reflex | unstable routines,trade certainty for iteration; keep systems human | build containers for intensity; transform without detonating your life,Catalyst | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
CATA-BUI,5,CATA,Catalyst,BUI,Builder,Disruptive Igniter,Catalyst — Disruptive Igniter,Makes it real,"Catalyst — Disruptive Igniter is the Catalyst core expressed through the Builder execution mode. At its best, it forces evolution when stagnation becomes lethal and builds infrastructure. In shadow, it trends toward collateral damage, intensity addiction, scorched-earth escalation plus the builder failure pattern of workaholic control. Integration: aim the fire; use containers; recover on purpose; add vision checkpoints so you don't build the wrong cathedral.",builds infrastructure | finishes what matters | creates repeatable outcomes,workaholic control | dismisses emotions as noise | over-optimizes,aim the fire; use containers; recover on purpose | add vision checkpoints so you don't build the wrong cathedral,Architect | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
CATA-VIS,6,CATA,Catalyst,VIS,Visionary,Chaos Prophet,Catalyst — Chaos Prophet,Sees the next shape,"Catalyst — Chaos Prophet is the Catalyst core expressed through the Visionary execution mode. At its best, it forces evolution when stagnation becomes lethal and sees the next shape. In shadow, it trends toward collateral damage, intensity addiction, scorched-earth escalation plus the visionary failure pattern of stays in the head. Integration: aim the fire; use containers; recover on purpose; ship in small iterations; let feedback refine the prophecy.",sees the next shape | names the direction | anticipates second-order effects,stays in the head | gets cynical | delays action,aim the fire; use containers; recover on purpose | ship in small iterations; let feedback refine the prophecy,Architect | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
CATA-REG,7,CATA,Catalyst,REG,Regulator,Boundary Breaker,Catalyst — Boundary Breaker,Holds the line,"Catalyst — Boundary Breaker is the Catalyst core expressed through the Regulator execution mode. At its best, it forces evolution when stagnation becomes lethal and holds boundaries. In shadow, it trends toward collateral damage, intensity addiction, scorched-earth escalation plus the regulator failure pattern of rigidity/moralizing. Integration: aim the fire; use containers; recover on purpose; pair boundaries with purpose; allow transformation on your terms.",holds boundaries | stabilizes quality | prevents preventable chaos,rigidity/moralizing | suppresses needed change | trust collapse,aim the fire; use containers; recover on purpose | pair boundaries with purpose; allow transformation on your terms,Architect | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
CATA-TRN,8,CATA,Catalyst,TRN,Transformer,Transmutation Spark,Catalyst — Transmutation Spark,Changes the state,"Catalyst — Transmutation Spark is the Catalyst core expressed through the Transformer execution mode. At its best, it forces evolution when stagnation becomes lethal and reinvents under pressure. In shadow, it trends toward collateral damage, intensity addiction, scorched-earth escalation plus the transformer failure pattern of volatility. Integration: aim the fire; use containers; recover on purpose; build containers for intensity; transform without detonating your life.",reinvents under pressure | transmutes crisis into progress | creates breakthroughs,volatility | burn-it-all reflex | unstable routines,aim the fire; use containers; recover on purpose | build containers for intensity; transform without detonating your life,Architect | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
SEER-BUI,9,SEER,Seer,BUI,Builder,Pattern Oracle,Seer — Pattern Oracle,Makes it real,"Seer — Pattern Oracle is the Seer core expressed through the Builder execution mode. At its best, it sees patterns early and reads what others miss and builds infrastructure. In shadow, it trends toward paranoia, dissociation, analysis paralysis plus the builder failure pattern of workaholic control. Integration: translate insight into action; ground the signal; add vision checkpoints so you don't build the wrong cathedral.",builds infrastructure | finishes what matters | creates repeatable outcomes,workaholic control | dismisses emotions as noise | over-optimizes,translate insight into action; ground the signal | add vision checkpoints so you don't build the wrong cathedral,Guardian | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
SEER-VIS,10,SEER,Seer,VIS,Visionary,Strategic Forecaster,Seer — Strategic Forecaster,Sees the next shape,"Seer — Strategic Forecaster is the Seer core expressed through the Visionary execution mode. At its best, it sees patterns early and reads what others miss and sees the next shape. In shadow, it trends toward paranoia, dissociation, analysis paralysis plus the visionary failure pattern of stays in the head. Integration: translate insight into action; ground the signal; ship in small iterations; let feedback refine the prophecy.",sees the next shape | names the direction | anticipates second-order effects,stays in the head | gets cynical | delays action,translate insight into action; ground the signal | ship in small iterations; let feedback refine the prophecy,Guardian | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
SEER-REG,11,SEER,Seer,REG,Regulator,Threshold Watcher,Seer — Threshold Watcher,Holds the line,"Seer — Threshold Watcher is the Seer core expressed through the Regulator execution mode. At its best, it sees patterns early and reads what others miss and holds boundaries. In shadow, it trends toward paranoia, dissociation, analysis paralysis plus the regulator failure pattern of rigidity/moralizing. Integration: translate insight into action; ground the signal; pair boundaries with purpose; allow transformation on your terms.",holds boundaries | stabilizes quality | prevents preventable chaos,rigidity/moralizing | suppresses needed change | trust collapse,translate insight into action; ground the signal | pair boundaries with purpose; allow transformation on your terms,Guardian | Weaver,Unintegrated versions of your polarity opposite | People who demand you shrink to keep their comfort | Environments that reward chaos with attention
