Primary_A,Primary_B,Sub_Sub_Archetype,Theme,Function
Catalyst,Alchemist,Chaos Prophet,Collapse + Transmutation,Truth through destruction
Chaos Prophet,Sovereign,Royal Prophet,Authority through disruption,Leads during collapse
Chaos Prophet,Explorer,Nomadic Prophet,Wandering truth-bringer,Spreads awakening
Chaos Prophet,Nomad King,Royal Nomad,Mobile sovereignty,Leads through chaos and movement
Sovereign,Explorer,Nomad King,Wandering Authority,Rules without roots
Nomad King,Weaver,Cultural Monarch,Relational leadership,Unites moving tribes
Nomad King,Catalyst,Conquering Nomad,Expansion through force,Destabilizes borders
Alchemist,Sovereign,Transformative King,Evolutionary leadership,Rules by inner change
Alchemist,Explorer,Experimental Sage,Transformative journey,Learns by doing
Alchemist,Weaver,Cultural Alchemist,Group transmutation,Heals communities
Architect,Catalyst,System Breaker,Designed collapse,Destroys to rebuild
Architect,Seer,Oracle Architect,Future systems,Builds what will be
Architect,Weaver,World Builder,Civilization design,Creates lasting societies
Seer,Explorer,Reality Cartographer,Mapping the unseen,Charts liminal space
Seer,Catalyst,Doom Herald,Apocalyptic foresight,Warns of collapse
Seer,Weaver,Myth Weaver,Narrative architect,Shapes meaning
Guardian,Sovereign,High Sentinel,Absolute protector,Enforces sacred order
Guardian,Alchemist,Sacred Healer,Protected healing,Restores safely
Guardian,Catalyst,War Sentinel,Aggressive defense,Protects through force
Weaver,Catalyst,Social Firestarter,Relational disruption,Ignites movements
Weaver,Explorer,Bridge Nomad,Cultural connector,Moves between worlds
Weaver,Sovereign,Social Monarch,Relational authority,Rules through trust
